City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Carnarvon,AU,2021-04-25 20:34:38,-24.8667,113.6333,62.6,72,0,5.75
129,Le Port,RE,2021-04-25 20:37:20,-20.9373,55.2919,75.2,83,75,19.57
130,Delijan,IR,2021-04-25 20:39:27,33.9905,50.6838,67.28,39,100,5.35
131,Znamenskoye,RU,2021-04-25 20:39:27,57.1281,73.8282,42.33,58,100,10.0
132,Puerto Escondido,MX,2021-04-25 20:31:18,15.85,-97.0667,87.8,66,40,9.22
133,Saint Andrews,US,2021-04-25 20:39:28,34.0454,-81.1293,77.0,43,75,10.36
134,Saskylakh,RU,2021-04-25 20:33:59,71.9167,114.0833,18.72,94,100,19.42
135,Luocheng,CN,2021-04-25 20:39:29,29.3848,104.0286,58.64,91,100,2.39
136,Port Elizabeth,ZA,2021-04-25 20:32:32,-33.918,25.5701,59.0,88,40,2.3
137,Shimoda,JP,2021-04-25 20:32:00,34.6667,138.95,48.0,45,45,19.55
138,Douglas,US,2021-04-25 20:39:29,41.3,-96.167,75.2,29,40,19.57
139,Saint-Francois,FR,2021-04-25 20:37:06,46.4154,3.9054,60.8,44,0,5.75
140,Asifabad,IN,2021-04-25 20:39:30,19.3667,79.2833,89.04,25,2,2.93
141,Maceio,BR,2021-04-25 20:39:31,-9.6658,-35.7353,80.6,74,0,8.05
142,Ashland,US,2021-04-25 20:39:31,40.8167,-82.2665,54.0,69,96,12.64
143,Yellowknife,CA,2021-04-25 20:34:29,62.456,-114.3525,12.0,66,90,10.36
144,Airai,TL,2021-04-25 20:37:07,-8.9266,125.4092,54.72,83,25,1.86
145,Ponta Do Sol,PT,2021-04-25 20:34:39,32.6667,-17.1,60.01,86,54,5.01
146,Altay,CN,2021-04-25 20:39:32,47.8667,88.1167,28.83,34,7,8.43
147,Aklavik,CA,2021-04-25 20:36:52,68.2191,-135.0107,24.8,68,1,9.22
