City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
189,Campos Belos,BR,-13.0367,-46.7717,73.74,78,53,3.06,moderate rain
190,Polson,US,47.6936,-114.1632,53.01,53,100,1.99,overcast clouds
191,Gunupur,IN,19.0833,83.8167,78.53,72,8,2.42,clear sky
192,Arman,RU,59.7,150.1667,18.86,68,25,5.66,scattered clouds
193,Kromy,RU,52.6876,35.7667,32.05,73,1,7.09,clear sky
194,Jamestown,US,42.097,-79.2353,43.0,75,90,16.11,overcast clouds
195,Riverton,US,40.5219,-111.9391,60.01,58,75,11.5,broken clouds
196,Pangody,RU,65.85,74.4859,32.02,92,100,12.39,overcast clouds
197,Dubrovytsya,UA,51.5744,26.565,32.92,66,51,4.43,broken clouds
198,Castro,BR,-24.7911,-50.0119,58.95,90,79,3.74,broken clouds
199,Bayji,IQ,34.9311,43.487,84.2,15,68,8.05,broken clouds
200,Menongue,AO,-14.6585,17.691,67.21,47,86,3.42,overcast clouds
201,Wahiawa,US,21.5028,-158.0236,81.0,57,75,6.91,broken clouds
202,Bharatpur,IN,27.2167,77.4833,79.47,11,0,4.45,clear sky
203,San Patricio,US,28.017,-97.5169,82.99,61,20,16.11,few clouds
204,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,73,90,10.36,light snow
205,Sterling,US,39.0062,-77.4286,63.0,48,75,16.11,broken clouds
206,Newport,GB,51.5877,-2.9984,48.0,71,43,14.92,scattered clouds
207,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,68,0,6.91,clear sky
208,Komsomolskiy,UZ,40.4272,71.7189,59.0,51,0,4.61,clear sky
209,Hokitika,NZ,-42.7167,170.9667,47.84,83,88,2.95,overcast clouds
210,Namibe,AO,-15.1961,12.1522,77.88,65,1,8.79,clear sky
211,Cam Ranh,VN,11.9214,109.1591,78.8,83,40,2.3,scattered clouds
212,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,0,8.05,clear sky
213,Huicheng,CN,23.0385,116.2899,69.8,88,20,2.24,few clouds
214,Mongomo,GQ,1.6274,11.3135,71.37,87,81,2.35,broken clouds
215,Port Hedland,AU,-20.3167,118.5667,62.6,67,0,8.05,clear sky
216,Chumikan,RU,54.7183,135.315,31.42,81,100,5.66,overcast clouds
217,Bandundu,CD,-3.3167,17.3667,75.97,79,36,1.86,scattered clouds
218,Batagay-Alyta,RU,67.8006,130.4114,19.58,85,100,3.56,overcast clouds
219,Kopidlno,CZ,50.3308,15.2703,37.4,70,0,5.75,clear sky
220,Rivadavia,AR,-33.1905,-68.4608,68.0,45,0,3.36,clear sky
221,Beian,NO,63.6559,9.5683,34.0,86,75,4.25,broken clouds
222,Novyy Urengoy,RU,66.0833,76.6333,28.74,93,100,8.88,overcast clouds
223,Pauini,BR,-7.7136,-66.9764,76.91,94,98,2.24,overcast clouds
224,Mandiana,GN,10.6333,-8.6833,84.67,46,85,5.61,light rain
225,Kruisfontein,ZA,-34.0033,24.7314,70.03,42,100,5.99,overcast clouds
226,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.2,88,0,2.3,clear sky
227,Filadelfia,US,39.9523,-75.1638,64.99,45,75,14.97,broken clouds
228,Bell Ville,AR,-32.6259,-62.6887,57.99,68,0,3.94,clear sky
229,Narsaq,GL,60.9167,-46.05,50.0,32,90,14.97,overcast clouds
230,Tessalit,ML,20.1986,1.0114,89.94,7,2,7.63,clear sky
231,Chikodi,IN,16.4333,74.6,77.56,47,97,12.12,overcast clouds
232,Cayenne,GF,4.9333,-52.3333,81.0,83,20,4.61,few clouds
