City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
381,Bonthe,SL,81.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
382,Maunabo,PR,80.01,few clouds,18.0072,-65.8993,Maunacaribe
384,Carutapera,BR,77.32,scattered clouds,-1.195,-46.02,Lidera
386,Lazaro Cardenas,MX,84.52,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
388,Gerash,IR,69.8,clear sky,27.6652,54.1371,Sa'adat House
391,Sur,OM,83.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
392,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
393,Balabac,PH,81.21,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
394,Mersing,MY,75.2,scattered clouds,2.4312,103.8405,Timotel Hotel
396,Bandarbeyla,SO,82.83,broken clouds,9.4942,50.8122,JABIR HOTEL
398,Guerrero Negro,MX,66.69,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
399,Innisfail,AU,74.59,overcast clouds,-17.5333,146.0333,Moondarra Motel
401,Qui Nhon,VN,77.92,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
402,Auki,SB,82.33,broken clouds,-8.7676,160.7034,Auki Motel
405,Yaan,NG,79.72,overcast clouds,7.3833,8.5667,
406,Dwarka,IN,81.54,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
408,Berberati,CF,70.32,scattered clouds,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
409,Son La,VN,67.91,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
411,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
412,Oistins,BB,80.6,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
420,Virginia Beach,US,66.2,scattered clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
426,Upata,VE,84.99,overcast clouds,8.0086,-62.3989,Posada Villa Nela
427,Padre Bernardo,BR,76.71,broken clouds,-15.35,-48.5,
428,Ocean Springs,US,80.01,clear sky,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
434,Hambantota,LK,78.8,few clouds,6.1241,81.1185,Bungalow 63
439,Kaka,TM,73.42,clear sky,37.3482,59.6143,
442,Tura,IN,75.42,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
444,Abonnema,NG,80.6,light rain,4.7084,6.7931,Corper's Lodge Obonoma
445,Pak Thong Chai,TH,84.0,scattered clouds,14.7226,102.0251,Mulberry House Korat
446,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
447,Vao,NC,74.35,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
448,Buraydah,SA,82.4,scattered clouds,26.326,43.975,فندق راحة السلام
450,Kilindoni,TZ,79.61,light rain,-7.9139,39.6668,Bustani B&B
451,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
452,Conakry,GN,80.6,few clouds,9.538,-13.6773,Riviera Royal Hotel
454,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
455,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
457,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
458,Ambulu,ID,72.91,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
460,Mayumba,GA,78.57,scattered clouds,-3.432,10.6554,LIKWALE LODGE
462,Pyapon,MM,80.49,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
466,Birjand,IR,68.0,broken clouds,32.8663,59.2211,Birjand Tourist Hotel
468,Orange Cove,US,66.0,overcast clouds,36.6244,-119.3137,
469,Ahuimanu,US,82.4,broken clouds,21.4447,-157.8378,Paradise Bay Resort
473,Tamiahua,MX,84.2,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
474,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
478,Keti Bandar,PK,80.89,clear sky,24.1447,67.4497,Haji laloo memon house
482,Kawalu,ID,70.5,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
483,Mbandaka,CD,73.0,light rain,0.0487,18.2603,Guest House Epervier
484,Kavaratti,IN,83.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
485,Gazojak,TM,68.52,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
490,Losal,IN,73.58,clear sky,27.4,74.9167,M. J. QURESHI
491,Benguela,AO,78.8,broken clouds,-12.5763,13.4055,Hotel Praia Morena
493,Odweyne,SO,74.68,light rain,9.4092,45.06399999999999,Eng Hiirey House
496,Ambon,ID,75.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
497,Nizwa,OM,78.12,scattered clouds,22.9333,57.5333,Orient Apartments
499,Sambava,MG,73.08,light rain,-14.2667,50.1667,Melrose
500,Poum,NC,77.4,broken clouds,-20.2333,164.0167,Gîte kajeon
502,Coro,VE,82.53,few clouds,11.4045,-69.6734,Federal
505,Altamira,BR,82.4,few clouds,-3.2033,-52.2064,Requinte Hotel
507,Ormara,PK,81.57,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
508,Isangel,VU,80.6,broken clouds,-19.55,169.2667,Tanna Lodge
509,Inirida,CO,78.98,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
510,Ixtapa,MX,80.6,broken clouds,20.7,-105.2,Hotel Plaza Providencia
511,Ladario,BR,73.4,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
513,Douglas,US,78.8,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
515,Bowen,AU,73.4,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
518,Maumere,ID,79.39,overcast clouds,-8.6199,122.2111,Sylvia Hotel
520,Manado,ID,73.4,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
521,Mayor Pablo Lagerenza,PY,69.78,overcast clouds,-19.9309,-60.7718,
523,Loralai,PK,68.61,clear sky,30.3705,68.598,Sana Poultry Loralai
524,Aripuana,BR,75.79,overcast clouds,-9.1667,-60.6333,
525,Frederico Westphalen,BR,70.0,broken clouds,-27.3592,-53.3944,Hotel Palace Frederico
526,Kupang,ID,73.4,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
534,Sungai Padi,TH,77.0,few clouds,6.0851,101.8766,237บอล&บาส
536,Nsanje,MW,70.74,clear sky,-16.92,35.262,Nsanje Discovery Lodge
537,Chicama,PE,66.2,clear sky,-7.8447,-79.1469,Balihai Bungalows
538,Kirakira,SB,82.96,scattered clouds,-10.4544,161.9205,SanBiz Lodge
541,Novo Cruzeiro,BR,72.32,overcast clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
542,Itoman,JP,68.0,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
543,Ha Giang,VN,76.44,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
544,Badou,TG,76.21,overcast clouds,7.5833,0.6,Auberge la Victoire
546,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
550,Umm Lajj,SA,81.43,clear sky,25.0213,37.2685,Moon light Furnished Units
551,Itupiranga,BR,82.4,broken clouds,-5.1347,-49.3267,Hotel Panorama
552,Pozo Colorado,PY,71.51,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
